City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Novaya Maka,RU,2022-02-02 18:53:24,41.7717,48.3615,38.35,85,49,1.74
68,Koumac,NC,2022-02-02 18:53:25,-20.5667,164.2833,76.59,84,4,7.92
69,Burns Lake,CA,2022-02-02 18:53:25,54.2331,-125.7533,2.62,91,100,3.71
70,Bandar-E Anzali,IR,2022-02-02 18:53:25,37.4727,49.4622,42.91,61,0,2.77
71,Kapaa,US,2022-02-02 18:53:25,22.0752,-159.319,69.48,98,6,4.25
72,Ridgecrest,US,2022-02-02 18:52:21,35.6225,-117.6709,51.66,14,0,4.0
73,Faya,SA,2022-02-02 18:53:26,18.3851,42.4509,59.52,72,14,1.81
74,Sorland,NO,2022-02-02 18:53:26,67.667,12.6934,28.26,54,100,19.66
75,Kasongo-Lunda,CD,2022-02-02 18:53:26,-6.4667,16.8167,72.45,94,100,2.24
76,Hoquiam,US,2022-02-02 18:53:27,46.9809,-123.8893,44.02,96,100,8.05
77,Koslan,RU,2022-02-02 18:53:27,63.4564,48.8989,12.67,99,100,3.56
78,Shingu,JP,2022-02-02 18:53:27,33.7333,135.9833,40.91,81,92,6.71
79,Santa Maria,BR,2022-02-02 18:53:27,-29.6842,-53.8069,96.1,28,20,4.61
80,General Roca,AR,2022-02-02 18:53:28,-39.0333,-67.5833,94.62,16,1,18.72
81,Hithadhoo,MV,2022-02-02 18:53:28,-0.6,73.0833,82.35,70,100,7.56
82,Carros,FR,2022-02-02 18:53:28,43.7894,7.184,55.31,60,0,3.44
83,Leningradskiy,RU,2022-02-02 18:53:29,69.3833,178.4167,-13.7,96,30,10.22
84,Muros,ES,2022-02-02 18:53:29,42.7762,-9.0603,57.7,71,100,3.65
85,Manakara,MG,2022-02-02 18:53:29,-22.1333,48.0167,74.66,82,20,6.58
86,Tuktoyaktuk,CA,2022-02-02 18:52:13,69.4541,-133.0374,-25.6,68,20,10.36
87,Mar Del Plata,AR,2022-02-02 18:53:30,-38.0023,-57.5575,89.62,50,0,11.99
88,Narsaq,GL,2022-02-02 18:48:49,60.9167,-46.05,7.02,69,16,5.88
89,Barrow,US,2022-02-02 18:53:30,71.2906,-156.7887,-28.52,100,29,4.38
90,Kirakira,SB,2022-02-02 18:54:30,-10.4544,161.9205,79.47,85,100,6.64
91,Cape Town,ZA,2022-02-02 18:52:23,-33.9258,18.4232,67.12,89,75,1.99
92,Bassila,BJ,2022-02-02 18:54:31,9.0081,1.6654,87.67,13,100,3.24
93,Libourne,FR,2022-02-02 18:54:31,44.9167,-0.25,51.22,89,0,3.89
94,Henties Bay,NA,2022-02-02 18:54:31,-22.116,14.2845,70.86,80,82,5.97
95,Miguel Alves,BR,2022-02-02 18:54:32,-4.1656,-42.8953,95.2,33,20,2.66
96,Alaca,TR,2022-02-02 18:54:32,40.1683,34.8425,31.48,91,100,4.47
97,Lafayette,US,2022-02-02 18:49:43,30.2335,-92.0668,77.13,77,75,0.0
98,Gat,IL,2022-02-02 18:54:32,31.61,34.7642,61.39,60,99,5.68
99,Banjar,ID,2022-02-02 18:50:06,-8.19,114.9675,82.26,91,93,5.06
100,Fortuna,US,2022-02-02 18:54:33,40.5982,-124.1573,51.93,58,0,4.0
101,Christchurch,NZ,2022-02-02 18:49:54,-43.5333,172.6333,78.01,65,100,1.99
102,Sur,OM,2022-02-02 18:51:42,22.5667,59.5289,73.62,52,2,16.62
103,Tura,IN,2022-02-02 18:54:33,25.5198,90.2201,60.4,54,96,4.41
104,Kaitangata,NZ,2022-02-02 18:54:33,-46.2817,169.8464,56.89,96,100,9.06
105,Cidreira,BR,2022-02-02 18:54:13,-30.1811,-50.2056,78.75,76,0,15.3
106,Upernavik,GL,2022-02-02 18:50:51,72.7868,-56.1549,-4.41,68,100,6.49
107,Ardakan,IR,2022-02-02 18:54:34,32.31,54.0175,50.38,34,0,4.54
108,Chiredzi,ZW,2022-02-02 18:54:34,-21.05,31.6667,79.77,47,6,5.08
109,Fevik,NO,2022-02-02 18:54:34,58.3794,8.6766,32.09,85,100,12.68
110,Mlonggo,ID,2022-02-02 18:54:34,-6.5333,110.7,80.49,88,53,5.28
111,Dikson,RU,2022-02-02 18:54:35,73.5069,80.5464,-8.66,98,99,11.48
112,Hilo,US,2022-02-02 18:54:35,19.7297,-155.09,75.25,85,69,1.01
113,Balkanabat,TM,2022-02-02 18:53:36,39.5108,54.3671,51.31,37,0,9.98
114,Provideniya,RU,2022-02-02 18:54:35,64.3833,-173.3,4.39,65,0,22.95
115,Channel-Port Aux Basques,CA,2022-02-02 18:54:36,47.5702,-59.1367,26.1,70,65,15.64
116,Severo-Kurilsk,RU,2022-02-02 18:54:36,50.6789,156.125,25.36,85,91,3.22
117,Lorengau,PG,2022-02-02 18:54:36,-2.0226,147.2712,79.68,80,100,11.45
118,Varadero,CU,2022-02-02 18:54:37,23.1536,-81.2514,77.92,66,40,20.07
119,Roald,NO,2022-02-02 18:54:37,62.5833,6.1333,33.94,64,40,9.22
120,Cheney,US,2022-02-02 18:49:51,47.4874,-117.5758,23.99,65,75,11.5
121,Saskylakh,RU,2022-02-02 18:54:37,71.9167,114.0833,-29.54,100,28,2.84
122,Lewistown,US,2022-02-02 18:54:38,40.5992,-77.5714,45.54,84,0,8.05
123,Salmas,IR,2022-02-02 18:54:38,38.1973,44.7653,25.79,74,64,5.68
124,Sokolo,ML,2022-02-02 18:54:38,14.7328,-6.1219,79.83,12,0,10.45
125,Nanakuli,US,2022-02-02 18:54:38,21.3906,-158.1547,76.1,72,1,4.09
126,Mehamn,NO,2022-02-02 18:54:39,71.0357,27.8492,17.51,83,100,6.51
127,Ilulissat,GL,2022-02-02 18:54:39,69.2167,-51.1,-5.12,80,80,12.68
128,Grand Gaube,MU,2022-02-02 18:54:39,-20.0064,57.6608,79.38,87,100,25.01
129,Mayor Pablo Lagerenza,PY,2022-02-02 18:54:40,-19.9309,-60.7718,102.7,22,66,5.57
130,Mae Hong Son,TH,2022-02-02 18:54:40,19.3003,97.9685,55.42,47,1,1.99
131,Mogadishu,SO,2022-02-02 18:54:40,2.0371,45.3438,78.89,84,100,19.57
132,Iqaluit,CA,2022-02-02 18:54:40,63.7506,-68.5145,8.33,78,100,15.01
133,Jatiroto,ID,2022-02-02 18:54:41,-7.8833,111.1167,73.63,93,100,3.67
134,Atuona,PF,2022-02-02 18:54:41,-9.8,-139.0333,77.65,78,87,15.26
135,Puerto Ayora,EC,2022-02-02 18:54:41,-0.7393,-90.3518,82.36,87,66,5.01
136,Hamilton,US,2022-02-02 18:52:33,39.1834,-84.5333,44.58,93,100,1.99
137,Nome,US,2022-02-02 18:52:41,64.5011,-165.4064,11.1,61,0,31.07
138,Sire,NG,2022-02-02 18:54:42,12.9299,5.2043,71.26,8,25,8.03
139,Strezhevoy,RU,2022-02-02 18:55:42,60.7333,77.5889,19.38,94,100,8.23
140,Tilichiki,RU,2022-02-02 18:55:42,60.4667,166.1,6.8,86,100,11.63
141,Bay City,US,2022-02-02 18:55:43,43.5945,-83.8889,28.89,91,100,5.01
142,Minab,IR,2022-02-02 18:55:43,27.1467,57.0801,69.3,36,0,11.79
143,New Norfolk,AU,2022-02-02 18:55:43,-42.7826,147.0587,54.9,72,36,1.01
144,San Jose,US,2022-02-02 18:55:10,37.3394,-121.895,61.05,25,0,3.0
145,Arinos,BR,2022-02-02 18:55:44,-15.9169,-46.1056,87.04,51,91,2.59
146,Emerald,AU,2022-02-02 18:55:44,-23.5333,148.1667,75.34,100,75,8.05
147,Ginda,IN,2022-02-02 18:55:44,30.6945,78.4932,41.86,73,100,2.95
148,Peace River,CA,2022-02-02 18:53:00,56.2501,-117.286,-9.09,77,100,6.91
149,Ribeira Grande,PT,2022-02-02 18:55:45,38.5167,-28.7,61.2,72,40,12.66
150,Lagoa,PT,2022-02-02 18:51:55,39.05,-27.9833,58.35,73,0,9.62
151,Bethel,US,2022-02-02 18:55:45,41.3712,-73.414,45.55,86,100,3.02
152,Homer,US,2022-02-02 18:55:45,59.6425,-151.5483,16.09,86,100,4.92
153,Mount Isa,AU,2022-02-02 18:55:46,-20.7333,139.5,80.37,74,100,8.05
154,Tucuma,BR,2022-02-02 18:55:46,-0.1833,-50.05,79.34,87,91,8.05
155,Torbay,CA,2022-02-02 18:55:46,47.6666,-52.7314,30.88,76,40,5.75
156,Nikita,UA,2022-02-02 18:55:47,44.5333,34.2333,36.73,98,100,5.17
157,Bitung,ID,2022-02-02 18:55:47,1.4451,125.1824,74.25,86,99,8.3
158,Cherskiy,RU,2022-02-02 18:55:47,68.75,161.3,-10.66,64,97,1.79
159,Hajnowka,PL,2022-02-02 18:55:47,52.7433,23.5812,33.03,87,100,7.0
160,Ribas Do Rio Pardo,BR,2022-02-02 18:55:48,-20.4431,-53.7592,82.76,70,100,8.99
161,Amapa,BR,2022-02-02 18:55:48,1.0,-52.0,73.11,98,100,4.52
